"","sample_pair","group","beta_div_method","beta_div_value"
"556","102-134","Time 2","bray",0.742105263157895
"557","102-144","Time 2","bray",0.845965770171149
"558","102-146","Time 2","bray",0.769072164948454
"559","102-19","Time 2","bray",0.78021978021978
"560","102-193","Time 2","bray",0.847750865051903
"561","102-218","Time 2","bray",0.815533980582524
"562","102-232","Time 2","bray",0.872
"563","102-235","Time 2","bray",0.895495495495495
"564","102-242","Time 2","bray",0.892797319932998
"565","102-244","Time 2","bray",0.857142857142857
"566","102-250","Time 2","bray",0.795275590551181
"567","102-27","Time 2","bray",0.88235294117647
"568","102-275","Time 2","bray",0.807692307692308
"569","102-286","Time 2","bray",0.877159309021113
"570","102-340","Time 2","bray",0.895131086142322
"571","102-341","Time 2","bray",0.826825127334465
"572","102-36","Time 2","bray",0.91103507271172
"573","102-369","Time 2","bray",0.826530612244898
"574","102-37","Time 2","bray",0.87037037037037
"575","102-83","Time 2","bray",0.881188118811881
"576","105-111","Time 2","bray",0.835616438356164
"577","105-129","Time 2","bray",0.78866474543708
"578","105-134","Time 2","bray",0.820224719101124
"579","105-144","Time 2","bray",0.764326069410815
"580","105-146","Time 2","bray",0.801324503311258
"581","105-19","Time 2","bray",0.789382071366406
"582","105-193","Time 2","bray",0.890140845070423
"583","105-218","Time 2","bray",0.801732435033686
"584","105-232","Time 2","bray",0.793499043977055
"585","105-235","Time 2","bray",0.821032005225343
"586","105-242","Time 2","bray",0.795665634674923
"587","105-244","Time 2","bray",0.847236180904523
"588","105-250","Time 2","bray",0.817007534983854
"589","105-27","Time 2","bray",0.798611111111111
"590","105-275","Time 2","bray",0.839490445859873
"591","105-286","Time 2","bray",0.804511278195489
"592","105-340","Time 2","bray",0.80658159838818
"593","105-341","Time 2","bray",0.776237623762376
"594","105-36","Time 2","bray",0.812578616352201
"595","105-369","Time 2","bray",0.842558425584256
"596","105-37","Time 2","bray",0.900671140939597
"597","105-83","Time 2","bray",0.832521908471276
"598","111-129","Time 2","bray",0.805447470817121
"599","111-134","Time 2","bray",0.728813559322034
"600","111-144","Time 2","bray",0.803921568627451
"601","111-146","Time 2","bray",0.776729559748428
"602","111-19","Time 2","bray",0.808873720136519
"603","111-193","Time 2","bray",0.9
"604","111-218","Time 2","bray",0.776332899869961
"605","111-232","Time 2","bray",0.819587628865979
"606","111-235","Time 2","bray",0.855670103092783
"607","111-242","Time 2","bray",0.866171003717472
"608","111-244","Time 2","bray",0.862068965517241
"609","111-250","Time 2","bray",0.845220030349014
"610","111-27","Time 2","bray",0.795918367346939
"611","111-275","Time 2","bray",0.833009708737864
"612","111-286","Time 2","bray",0.8558256496228
"613","111-340","Time 2","bray",0.84577522559475
"614","111-341","Time 2","bray",0.789189189189189
"615","111-36","Time 2","bray",0.857575757575758
"616","111-369","Time 2","bray",0.793738489871087
"617","111-37","Time 2","bray",0.890526315789474
"618","111-83","Time 2","bray",0.85997357992074
"619","129-134","Time 2","bray",0.727011494252874
"620","129-144","Time 2","bray",0.754850088183421
"621","129-146","Time 2","bray",0.782771535580524
"622","129-19","Time 2","bray",0.743295019157088
"623","129-193","Time 2","bray",0.877685950413223
"624","129-218","Time 2","bray",0.758029978586724
"625","129-232","Time 2","bray",0.77470775770457
"626","129-235","Time 2","bray",0.814866760168303
"627","129-242","Time 2","bray",0.801324503311258
"628","129-244","Time 2","bray",0.815730337078652
"629","129-250","Time 2","bray",0.813106796116505
"630","129-27","Time 2","bray",0.791786055396371
"631","129-275","Time 2","bray",0.829411764705882
"632","129-286","Time 2","bray",0.836524300441826
"633","129-340","Time 2","bray",0.826589595375723
"634","129-341","Time 2","bray",0.792265193370166
"635","129-36","Time 2","bray",0.81010101010101
"636","129-369","Time 2","bray",0.80225988700565
"637","129-37","Time 2","bray",0.88125
"638","129-83","Time 2","bray",0.815618221258134
"639","134-144","Time 2","bray",0.78076062639821
"640","134-146","Time 2","bray",0.729055258467023
"641","134-19","Time 2","bray",0.751243781094527
"642","134-193","Time 2","bray",0.846575342465753
"643","134-218","Time 2","bray",0.77521613832853
"644","134-232","Time 2","bray",0.797432239657632
"645","134-235","Time 2","bray",0.883642495784148
"646","134-242","Time 2","bray",0.870866141732283
"647","134-244","Time 2","bray",0.833846153846154
"648","134-250","Time 2","bray",0.825342465753425
"649","134-27","Time 2","bray",0.801734820322181
"650","134-275","Time 2","bray",0.795454545454545
"651","134-286","Time 2","bray",0.855098389982111
"652","134-340","Time 2","bray",0.846153846153846
"653","134-341","Time 2","bray",0.786466165413534
"654","134-36","Time 2","bray",0.879518072289157
"655","134-369","Time 2","bray",0.717948717948718
"656","134-37","Time 2","bray",0.885
"657","134-83","Time 2","bray",0.824046920821114
"658","144-146","Time 2","bray",0.76976976976977
"659","144-19","Time 2","bray",0.753623188405797
"660","144-193","Time 2","bray",0.892901618929016
"661","144-218","Time 2","bray",0.757950530035336
"662","144-232","Time 2","bray",0.764705882352941
"663","144-235","Time 2","bray",0.805418719211823
"664","144-242","Time 2","bray",0.802107728337237
"665","144-244","Time 2","bray",0.810661764705882
"666","144-250","Time 2","bray",0.802348336594912
"667","144-27","Time 2","bray",0.778313253012048
"668","144-275","Time 2","bray",0.842824601366743
"669","144-286","Time 2","bray",0.804627249357326
"670","144-340","Time 2","bray",0.766118836915297
"671","144-341","Time 2","bray",0.7207615593835
"672","144-36","Time 2","bray",0.769459298871064
"673","144-369","Time 2","bray",0.818984547461369
"674","144-37","Time 2","bray",0.897374701670644
"675","144-83","Time 2","bray",0.8
"676","146-19","Time 2","bray",0.735973597359736
"677","146-193","Time 2","bray",0.851063829787234
"678","146-218","Time 2","bray",0.774718397997497
"679","146-232","Time 2","bray",0.791563275434243
"680","146-235","Time 2","bray",0.841982958946553
"681","146-242","Time 2","bray",0.847272727272727
"682","146-244","Time 2","bray",0.843708609271523
"683","146-250","Time 2","bray",0.779390420899855
"684","146-27","Time 2","bray",0.81140350877193
"685","146-275","Time 2","bray",0.787155963302752
"686","146-286","Time 2","bray",0.798855273916598
"687","146-340","Time 2","bray",0.831865492393915
"688","146-341","Time 2","bray",0.78961038961039
"689","146-36","Time 2","bray",0.847407407407407
"690","146-369","Time 2","bray",0.804537521815009
"691","146-37","Time 2","bray",0.857425742574257
"692","146-83","Time 2","bray",0.809402795425667
"693","19-193","Time 2","bray",0.879382889200561
"694","19-218","Time 2","bray",0.769673704414587
"695","19-232","Time 2","bray",0.805529075309819
"696","19-235","Time 2","bray",0.8122555410691
"697","19-242","Time 2","bray",0.793572311495674
"698","19-244","Time 2","bray",0.821643286573146
"699","19-250","Time 2","bray",0.778969957081545
"700","19-27","Time 2","bray",0.778354978354978
"701","19-275","Time 2","bray",0.804568527918782
"702","19-286","Time 2","bray",0.772169167803547
"703","19-340","Time 2","bray",0.798927613941019
"704","19-341","Time 2","bray",0.778874629812438
"705","19-36","Time 2","bray",0.811676082862524
"706","19-369","Time 2","bray",0.82843137254902
"707","19-37","Time 2","bray",0.863636363636364
"708","19-83","Time 2","bray",0.798058252427184
"709","193-218","Time 2","bray",0.887230514096186
"710","193-232","Time 2","bray",0.888524590163934
"711","193-235","Time 2","bray",0.917808219178082
"712","193-242","Time 2","bray",0.911789652247668
"713","193-244","Time 2","bray",0.874776386404293
"714","193-250","Time 2","bray",0.870182555780933
"715","193-27","Time 2","bray",0.893854748603352
"716","193-275","Time 2","bray",0.862464183381089
"717","193-286","Time 2","bray",0.916260954235638
"718","193-340","Time 2","bray",0.92022792022792
"719","193-341","Time 2","bray",0.860627177700348
"720","193-36","Time 2","bray",0.923743500866551
"721","193-369","Time 2","bray",0.830238726790451
"722","193-37","Time 2","bray",0.870550161812298
"723","193-83","Time 2","bray",0.871404399323181
"724","218-232","Time 2","bray",0.789137380191693
"725","218-235","Time 2","bray",0.804775280898876
"726","218-242","Time 2","bray",0.818302387267904
"727","218-244","Time 2","bray",0.84009009009009
"728","218-250","Time 2","bray",0.817518248175182
"729","218-27","Time 2","bray",0.772248803827751
"730","218-275","Time 2","bray",0.84070796460177
"731","218-286","Time 2","bray",0.823008849557522
"732","218-340","Time 2","bray",0.795947901591896
"733","218-341","Time 2","bray",0.760797342192691
"734","218-36","Time 2","bray",0.819285232636548
"735","218-369","Time 2","bray",0.796033994334278
"736","218-37","Time 2","bray",0.905956112852665
"737","218-83","Time 2","bray",0.797826086956522
"738","232-235","Time 2","bray",0.828092243186583
"739","232-242","Time 2","bray",0.836303630363036
"740","232-244","Time 2","bray",0.830167597765363
"741","232-250","Time 2","bray",0.826296743063932
"742","232-27","Time 2","bray",0.788973384030418
"743","232-275","Time 2","bray",0.836496350364964
"744","232-286","Time 2","bray",0.822450476889215
"745","232-340","Time 2","bray",0.802735781137509
"746","232-341","Time 2","bray",0.756043956043956
"747","232-36","Time 2","bray",0.81744966442953
"748","232-369","Time 2","bray",0.798036465638149
"749","232-37","Time 2","bray",0.906976744186046
"750","232-83","Time 2","bray",0.820927723840345
"751","235-242","Time 2","bray",0.76
"752","235-244","Time 2","bray",0.804347826086957
"753","235-250","Time 2","bray",0.84779299847793
"754","235-27","Time 2","bray",0.815224463240078
"755","235-275","Time 2","bray",0.899145299145299
"756","235-286","Time 2","bray",0.83008658008658
"757","235-340","Time 2","bray",0.834578441835646
"758","235-341","Time 2","bray",0.845161290322581
"759","235-36","Time 2","bray",0.812658227848101
"760","235-369","Time 2","bray",0.886477462437396
"761","235-37","Time 2","bray",0.91858407079646
"762","235-83","Time 2","bray",0.814447592067989
"763","242-244","Time 2","bray",0.825136612021858
"764","242-250","Time 2","bray",0.856938483547926
"765","242-27","Time 2","bray",0.809993830968538
"766","242-275","Time 2","bray",0.910685805422648
"767","242-286","Time 2","bray",0.818840579710145
"768","242-340","Time 2","bray",0.835546475995914
"769","242-341","Time 2","bray",0.839080459770115
"770","242-36","Time 2","bray",0.813501699854298
"771","242-369","Time 2","bray",0.884555382215289
"772","242-37","Time 2","bray",0.917627677100494
"773","242-83","Time 2","bray",0.81283422459893
"774","244-250","Time 2","bray",0.825192802056555
"775","244-27","Time 2","bray",0.816183816183816
"776","244-275","Time 2","bray",0.873817034700315
"777","244-286","Time 2","bray",0.856707317073171
"778","244-340","Time 2","bray",0.85949177877429
"779","244-341","Time 2","bray",0.820721769499418
"780","244-36","Time 2","bray",0.848505906879778
"781","244-369","Time 2","bray",0.848942598187311
"782","244-37","Time 2","bray",0.885521885521885
"783","244-83","Time 2","bray",0.812785388127854
"784","250-27","Time 2","bray",0.818181818181818
"785","250-275","Time 2","bray",0.813380281690141
"786","250-286","Time 2","bray",0.831460674157303
"787","250-340","Time 2","bray",0.855345911949686
"788","250-341","Time 2","bray",0.790668348045397
"789","250-36","Time 2","bray",0.854333576110706
"790","250-369","Time 2","bray",0.835570469798658
"791","250-37","Time 2","bray",0.882575757575758
"792","250-83","Time 2","bray",0.819753086419753
"793","27-275","Time 2","bray",0.845764854614412
"794","27-286","Time 2","bray",0.808032675289312
"795","27-340","Time 2","bray",0.814046822742475
"796","27-341","Time 2","bray",0.781496062992126
"797","27-36","Time 2","bray",0.81077694235589
"798","27-369","Time 2","bray",0.819291819291819
"799","27-37","Time 2","bray",0.898801597869507
"800","27-83","Time 2","bray",0.82187802516941
"801","275-286","Time 2","bray",0.840290381125227
"802","275-340","Time 2","bray",0.879432624113475
"803","275-341","Time 2","bray",0.821263482280431
"804","275-36","Time 2","bray",0.886086248982913
"805","275-369","Time 2","bray",0.831858407079646
"806","275-37","Time 2","bray",0.885416666666667
"807","275-83","Time 2","bray",0.834834834834835
"808","286-340","Time 2","bray",0.815060908084164
"809","286-341","Time 2","bray",0.810097965335343
"810","286-36","Time 2","bray",0.815416885159937
"811","286-369","Time 2","bray",0.851327433628319
"812","286-37","Time 2","bray",0.902071563088512
"813","286-83","Time 2","bray",0.825892857142857
"814","340-341","Time 2","bray",0.79009608277901
"815","340-36","Time 2","bray",0.796171753750647
"816","340-369","Time 2","bray",0.856401384083045
"817","340-37","Time 2","bray",0.908088235294118
"818","340-83","Time 2","bray",0.845255474452555
"819","341-36","Time 2","bray",0.826685006877579
"820","341-369","Time 2","bray",0.790251107828656
"821","341-37","Time 2","bray",0.891625615763547
"822","341-83","Time 2","bray",0.809203142536476
"823","36-369","Time 2","bray",0.875894988066826
"824","36-37","Time 2","bray",0.900756938603869
"825","36-83","Time 2","bray",0.849082256968049
"826","369-37","Time 2","bray",0.878640776699029
"827","369-83","Time 2","bray",0.847262247838617
"828","37-83","Time 2","bray",0.888178913738019
"829","108-110","Time 3","bray",0.795104261106074
"830","108-142","Time 3","bray",0.810479375696767
"831","108-143","Time 3","bray",0.863192182410424
"832","108-157","Time 3","bray",0.797101449275362
"833","108-170","Time 3","bray",0.78996138996139
"834","108-177","Time 3","bray",0.790087463556851
"835","108-185","Time 3","bray",0.824864864864865
"836","108-217","Time 3","bray",0.811894882434302
"837","108-266","Time 3","bray",0.792746113989637
"838","108-272","Time 3","bray",0.864516129032258
"839","108-285","Time 3","bray",0.803992740471869
"840","108-29","Time 3","bray",0.802555168408827
"841","108-303","Time 3","bray",0.835443037974684
"842","108-316","Time 3","bray",0.795045045045045
"843","108-353","Time 3","bray",0.7847533632287
"844","108-374","Time 3","bray",0.792452830188679
"845","108-376","Time 3","bray",0.802026500389712
"846","108-38","Time 3","bray",0.863760217983651
"847","108-45","Time 3","bray",0.913644214162349
"848","108-52","Time 3","bray",0.833693304535637
"849","108-62","Time 3","bray",0.814863102998696
"850","108-76","Time 3","bray",0.801560758082497
"851","108-99","Time 3","bray",0.781659388646288
"852","110-142","Time 3","bray",0.797421731123389
"853","110-143","Time 3","bray",0.880448318804483
"854","110-157","Time 3","bray",0.791183294663573
"855","110-170","Time 3","bray",0.797843665768194
"856","110-177","Time 3","bray",0.80952380952381
"857","110-185","Time 3","bray",0.829443447037702
"858","110-217","Time 3","bray",0.822368421052632
"859","110-266","Time 3","bray",0.797227036395147
"860","110-272","Time 3","bray",0.88627935723115
"861","110-285","Time 3","bray",0.796959826275787
"862","110-29","Time 3","bray",0.8
"863","110-303","Time 3","bray",0.831912302070646
"864","110-316","Time 3","bray",0.814298978644382
"865","110-353","Time 3","bray",0.805735430157262
"866","110-374","Time 3","bray",0.790232185748599
"867","110-376","Time 3","bray",0.777173913043478
"868","110-38","Time 3","bray",0.882990249187432
"869","110-45","Time 3","bray",0.890625
"870","110-52","Time 3","bray",0.829596412556054
"871","110-62","Time 3","bray",0.838912133891213
"872","110-76","Time 3","bray",0.813996316758748
"873","110-99","Time 3","bray",0.831674208144796
"874","142-143","Time 3","bray",0.862646566164154
"875","142-157","Time 3","bray",0.793928242870285
"876","142-170","Time 3","bray",0.823161189358372
"877","142-177","Time 3","bray",0.8300395256917
"878","142-185","Time 3","bray",0.852422907488987
"879","142-217","Time 3","bray",0.81586402266289
"880","142-266","Time 3","bray",0.782700421940928
"881","142-272","Time 3","bray",0.87396351575456
"882","142-285","Time 3","bray",0.82640586797066
"883","142-29","Time 3","bray",0.796208530805687
"884","142-303","Time 3","bray",0.821138211382114
"885","142-316","Time 3","bray",0.800229621125144
"886","142-353","Time 3","bray",0.782857142857143
"887","142-374","Time 3","bray",0.808245445829338
"888","142-376","Time 3","bray",0.791469194312796
"889","142-38","Time 3","bray",0.880055788005579
"890","142-45","Time 3","bray",0.896797153024911
"891","142-52","Time 3","bray",0.793179317931793
"892","142-62","Time 3","bray",0.845333333333333
"893","142-76","Time 3","bray",0.775
"894","142-99","Time 3","bray",0.799777530589544
"895","143-157","Time 3","bray",0.833333333333333
"896","143-170","Time 3","bray",0.885427135678392
"897","143-177","Time 3","bray",0.857338820301783
"898","143-185","Time 3","bray",0.84
"899","143-217","Time 3","bray",0.82033096926714
"900","143-266","Time 3","bray",0.849624060150376
"901","143-272","Time 3","bray",0.81875
"902","143-285","Time 3","bray",0.896526237989653
"903","143-29","Time 3","bray",0.839572192513369
"904","143-303","Time 3","bray",0.819277108433735
"905","143-316","Time 3","bray",0.819727891156463
"906","143-353","Time 3","bray",0.861486486486487
"907","143-374","Time 3","bray",0.860526315789474
"908","143-376","Time 3","bray",0.857578840284842
"909","143-38","Time 3","bray",0.884792626728111
"910","143-45","Time 3","bray",0.885304659498208
"911","143-52","Time 3","bray",0.869009584664537
"912","143-62","Time 3","bray",0.815845824411135
"913","143-76","Time 3","bray",0.845896147403685
"914","143-99","Time 3","bray",0.844155844155844
"915","157-170","Time 3","bray",0.772390572390572
"916","157-177","Time 3","bray",0.758818703855619
"917","157-185","Time 3","bray",0.811659192825112
"918","157-217","Time 3","bray",0.778751369112815
"919","157-266","Time 3","bray",0.773160173160173
"920","157-272","Time 3","bray",0.844444444444444
"921","157-285","Time 3","bray",0.737384698860553
"922","157-29","Time 3","bray",0.769743101807802
"923","157-303","Time 3","bray",0.841849148418491
"924","157-316","Time 3","bray",0.76808905380334
"925","157-353","Time 3","bray",0.765249537892791
"926","157-374","Time 3","bray",0.7632
"927","157-376","Time 3","bray",0.731160896130346
"928","157-38","Time 3","bray",0.841991341991342
"929","157-45","Time 3","bray",0.895968790637191
"930","157-52","Time 3","bray",0.792114695340502
"931","157-62","Time 3","bray",0.80564263322884
"932","157-76","Time 3","bray",0.782888684452622
"933","157-99","Time 3","bray",0.768535262206148
"934","170-177","Time 3","bray",0.790070921985816
"935","170-185","Time 3","bray",0.830015313935682
"936","170-217","Time 3","bray",0.83695652173913
"937","170-266","Time 3","bray",0.797919762258544
"938","170-272","Time 3","bray",0.89010989010989
"939","170-285","Time 3","bray",0.738446411012783
"940","170-29","Time 3","bray",0.797101449275362
"941","170-303","Time 3","bray",0.842053307008884
"942","170-316","Time 3","bray",0.812450748620961
"943","170-353","Time 3","bray",0.809897879025923
"944","170-374","Time 3","bray",0.794587092297016
"945","170-376","Time 3","bray",0.768028846153846
"946","170-38","Time 3","bray",0.881614349775785
"947","170-45","Time 3","bray",0.916666666666667
"948","170-52","Time 3","bray",0.820964039785769
"949","170-62","Time 3","bray",0.822299651567944
"950","170-76","Time 3","bray",0.807511737089202
"951","170-99","Time 3","bray",0.791827293754819
"952","177-185","Time 3","bray",0.809615384615385
"953","177-217","Time 3","bray",0.825775656324582
"954","177-266","Time 3","bray",0.787037037037037
"955","177-272","Time 3","bray",0.844897959183673
"956","177-285","Time 3","bray",0.78393665158371
"957","177-29","Time 3","bray",0.788934426229508
"958","177-303","Time 3","bray",0.828647925033467
"959","177-316","Time 3","bray",0.770687936191426
"960","177-353","Time 3","bray",0.801390268123138
"961","177-374","Time 3","bray",0.773617021276596
"962","177-376","Time 3","bray",0.729613733905579
"963","177-38","Time 3","bray",0.832744405182568
"964","177-45","Time 3","bray",0.899135446685879
"965","177-52","Time 3","bray",0.81940441882805
"966","177-62","Time 3","bray",0.8140589569161
"967","177-76","Time 3","bray",0.786561264822134
"968","177-99","Time 3","bray",0.778855480116392
"969","185-217","Time 3","bray",0.822888283378747
"970","185-266","Time 3","bray",0.819672131147541
"971","185-272","Time 3","bray",0.870047543581617
"972","185-285","Time 3","bray",0.830528846153846
"973","185-29","Time 3","bray",0.807339449541284
"974","185-303","Time 3","bray",0.847589424572317
"975","185-316","Time 3","bray",0.793103448275862
"976","185-353","Time 3","bray",0.844961240310077
"977","185-374","Time 3","bray",0.822595704948646
"978","185-376","Time 3","bray",0.797527047913447
"979","185-38","Time 3","bray",0.876510067114094
"980","185-45","Time 3","bray",0.864406779661017
"981","185-52","Time 3","bray",0.824973319103522
"982","185-62","Time 3","bray",0.840616966580977
"983","185-76","Time 3","bray",0.777533039647577
"984","185-99","Time 3","bray",0.812297734627832
"985","217-266","Time 3","bray",0.813953488372093
"986","217-272","Time 3","bray",0.818181818181818
"987","217-285","Time 3","bray",0.856361149110807
"988","217-29","Time 3","bray",0.773134328358209
"989","217-303","Time 3","bray",0.81859410430839
"990","217-316","Time 3","bray",0.804878048780488
"991","217-353","Time 3","bray",0.800285306704708
"992","217-374","Time 3","bray",0.806674338319908
"993","217-376","Time 3","bray",0.802197802197802
"994","217-38","Time 3","bray",0.841620626151013
"995","217-45","Time 3","bray",0.829896907216495
"996","217-52","Time 3","bray",0.80952380952381
"997","217-62","Time 3","bray",0.815972222222222
"998","217-76","Time 3","bray",0.798866855524079
"999","217-99","Time 3","bray",0.806896551724138
"1000","266-272","Time 3","bray",0.853949329359165
"1001","266-285","Time 3","bray",0.789906103286385
"1002","266-29","Time 3","bray",0.800438596491228
"1003","266-303","Time 3","bray",0.789165446559297
"1004","266-316","Time 3","bray",0.789137380191693
"1005","266-353","Time 3","bray",0.741251325556734
"1006","266-374","Time 3","bray",0.778577857785779
"1007","266-376","Time 3","bray",0.75712143928036
"1008","266-38","Time 3","bray",0.864968152866242
"1009","266-45","Time 3","bray",0.895238095238095
"1010","266-52","Time 3","bray",0.79324462640737
"1011","266-62","Time 3","bray",0.821515892420538
"1012","266-76","Time 3","bray",0.751054852320675
"1013","266-99","Time 3","bray",0.799379524301965
"1014","272-285","Time 3","bray",0.90139808682855
"1015","272-29","Time 3","bray",0.855379188712522
"1016","272-303","Time 3","bray",0.834319526627219
"1017","272-316","Time 3","bray",0.848484848484849
"1018","272-353","Time 3","bray",0.862876254180602
"1019","272-374","Time 3","bray",0.856396866840731
"1020","272-376","Time 3","bray",0.874620829120324
"1021","272-38","Time 3","bray",0.859090909090909
"1022","272-45","Time 3","bray",0.880701754385965
"1023","272-52","Time 3","bray",0.876582278481013
"1024","272-62","Time 3","bray",0.864693446088795
"1025","272-76","Time 3","bray",0.864013266998342
"1026","272-99","Time 3","bray",0.84887459807074
"1027","285-29","Time 3","bray",0.81
"1028","285-303","Time 3","bray",0.87600291757841
"1029","285-316","Time 3","bray",0.813153042409342
"1030","285-353","Time 3","bray",0.803801348865727
"1031","285-374","Time 3","bray",0.790994997220678
"1032","285-376","Time 3","bray",0.745796241345203
"1033","285-38","Time 3","bray",0.879158180583843
"1034","285-45","Time 3","bray",0.931714719271624
"1035","285-52","Time 3","bray",0.829429429429429
"1036","285-62","Time 3","bray",0.843293492695883
"1037","285-76","Time 3","bray",0.810513447432763
"1038","285-99","Time 3","bray",0.788519637462236
"1039","29-303","Time 3","bray",0.837651122625216
"1040","29-316","Time 3","bray",0.784431137724551
"1041","29-353","Time 3","bray",0.792610250297974
"1042","29-374","Time 3","bray",0.805362462760675
"1043","29-376","Time 3","bray",0.791869918699187
"1044","29-38","Time 3","bray",0.859030837004405
"1045","29-45","Time 3","bray",0.889733840304182
"1046","29-52","Time 3","bray",0.823596792668958
"1047","29-62","Time 3","bray",0.831932773109244
"1048","29-76","Time 3","bray",0.781990521327014
"1049","29-99","Time 3","bray",0.793742757821553
"1050","303-316","Time 3","bray",0.841584158415842
"1051","303-353","Time 3","bray",0.786885245901639
"1052","303-374","Time 3","bray",0.84318766066838
"1053","303-376","Time 3","bray",0.834165834165834
"1054","303-38","Time 3","bray",0.845132743362832
"1055","303-45","Time 3","bray",0.824915824915825
"1056","303-52","Time 3","bray",0.838509316770186
"1057","303-62","Time 3","bray",0.830927835051546
"1058","303-76","Time 3","bray",0.772357723577236
"1059","303-99","Time 3","bray",0.851735015772871
"1060","316-353","Time 3","bray",0.810623556581986
"1061","316-374","Time 3","bray",0.777562862669246
"1062","316-376","Time 3","bray",0.751789976133652
"1063","316-38","Time 3","bray",0.85593220338983
"1064","316-45","Time 3","bray",0.873417721518987
"1065","316-52","Time 3","bray",0.813333333333333
"1066","316-62","Time 3","bray",0.813765182186235
"1067","316-76","Time 3","bray",0.763490241102181
"1068","316-99","Time 3","bray",0.78876404494382
"1069","353-374","Time 3","bray",0.79383429672447
"1070","353-376","Time 3","bray",0.768437747819191
"1071","353-38","Time 3","bray",0.845505617977528
"1072","353-45","Time 3","bray",0.877917414721723
"1073","353-52","Time 3","bray",0.794247787610619
"1074","353-62","Time 3","bray",0.81744966442953
"1075","353-76","Time 3","bray",0.773714285714286
"1076","353-99","Time 3","bray",0.812080536912752
"1077","374-376","Time 3","bray",0.748075577326802
"1078","374-38","Time 3","bray",0.85
"1079","374-45","Time 3","bray",0.892413793103448
"1080","374-52","Time 3","bray",0.817164179104478
"1081","374-62","Time 3","bray",0.840087623220153
"1082","374-76","Time 3","bray",0.779482262703739
"1083","374-99","Time 3","bray",0.792843691148776
"1084","376-38","Time 3","bray",0.85312783318223
"1085","376-45","Time 3","bray",0.89662447257384
"1086","376-52","Time 3","bray",0.814671814671815
"1087","376-62","Time 3","bray",0.816901408450704
"1088","376-76","Time 3","bray",0.759873617693523
"1089","376-99","Time 3","bray",0.777431906614786
"1090","38-45","Time 3","bray",0.904761904761905
"1091","38-52","Time 3","bray",0.879356568364611
"1092","38-62","Time 3","bray",0.870528109028961
"1093","38-76","Time 3","bray",0.866108786610879
"1094","38-99","Time 3","bray",0.845108695652174
"1095","45-52","Time 3","bray",0.884940778341794
"1096","45-62","Time 3","bray",0.87037037037037
"1097","45-76","Time 3","bray",0.907473309608541
"1098","45-99","Time 3","bray",0.882960413080895
"1099","52-62","Time 3","bray",0.810012836970475
"1100","52-76","Time 3","bray",0.77997799779978
"1101","52-99","Time 3","bray",0.821120689655172
"1102","62-76","Time 3","bray",0.824
"1103","62-99","Time 3","bray",0.797139141742523
"1104","76-99","Time 3","bray",0.78642936596218
"1105","138-16","Time 4","bray",0.80064308681672
"1106","138-175","Time 4","bray",0.705882352941177
"1107","138-192","Time 4","bray",0.810055865921788
"1108","138-194","Time 4","bray",0.859259259259259
"1109","138-201","Time 4","bray",0.815068493150685
